time,SIS
2015-01-01 06:00:00+00:00,0.0
2015-01-01 07:00:00+00:00,8.0
2015-01-01 08:00:00+00:00,94.0
2015-01-01 09:00:00+00:00,155.0
2015-01-01 10:00:00+00:00,215.5
2015-01-01 11:00:00+00:00,241.0
2015-01-01 12:00:00+00:00,211.0
2015-01-01 13:00:00+00:00,136.0
2015-01-01 14:00:00+00:00,27.5
2015-01-01 15:00:00+00:00,0.0
2015-01-01 16:00:00+00:00,0.0
2015-01-02 06:00:00+00:00,0.0
2015-01-02 07:00:00+00:00,1.0
2015-01-02 08:00:00+00:00,21.5
2015-01-02 09:00:00+00:00,77.5
2015-01-02 10:00:00+00:00,26.0
2015-01-02 11:00:00+00:00,93.0
2015-01-02 12:00:00+00:00,65.0
2015-01-02 13:00:00+00:00,94.0
2015-01-02 14:00:00+00:00,28.5
2015-01-02 15:00:00+00:00,0.0
2015-01-02 16:00:00+00:00,0.0
2015-01-03 06:00:00+00:00,0.0
2015-01-03 07:00:00+00:00,7.5
2015-01-03 08:00:00+00:00,55.5
2015-01-03 09:00:00+00:00,107.0
2015-01-03 10:00:00+00:00,133.5
2015-01-03 11:00:00+00:00,133.5
2015-01-03 12:00:00+00:00,107.0
2015-01-03 13:00:00+00:00,80.0
2015-01-03 14:00:00+00:00,27.0
2015-01-03 15:00:00+00:00,0.0
2015-01-03 16:00:00+00:00,0.0
2015-01-04 06:00:00+00:00,0.0
2015-01-04 07:00:00+00:00,7.5
2015-01-04 08:00:00+00:00,51.0
2015-01-04 09:00:00+00:00,127.0
2015-01-04 10:00:00+00:00,149.5
2015-01-04 11:00:00+00:00,153.0
2015-01-04 12:00:00+00:00,161.5
2015-01-04 13:00:00+00:00,119.0
2015-01-04 14:00:00+00:00,12.0
2015-01-04 15:00:00+00:00,0.0
2015-01-04 16:00:00+00:00,0.0
2015-01-05 06:00:00+00:00,0.0
2015-01-05 07:00:00+00:00,8.5
2015-01-05 08:00:00+00:00,48.0
2015-01-05 09:00:00+00:00,65.5
2015-01-05 10:00:00+00:00,61.0
2015-01-05 11:00:00+00:00,58.5
2015-01-05 12:00:00+00:00,46.5
2015-01-05 13:00:00+00:00,46.0
2015-01-05 14:00:00+00:00,27.5
2015-01-05 15:00:00+00:00,0.0
2015-01-05 16:00:00+00:00,0.0
2015-01-06 06:00:00+00:00,0.0
2015-01-06 07:00:00+00:00,8.5
2015-01-06 08:00:00+00:00,61.0
2015-01-06 09:00:00+00:00,115.5
2015-01-06 10:00:00+00:00,105.0
2015-01-06 11:00:00+00:00,188.0
2015-01-06 12:00:00+00:00,206.5
2015-01-06 13:00:00+00:00,133.0
2015-01-06 14:00:00+00:00,39.0
2015-01-06 15:00:00+00:00,0.0
2015-01-06 16:00:00+00:00,0.0
2015-01-07 06:00:00+00:00,0.0
2015-01-07 07:00:00+00:00,8.5
2015-01-07 08:00:00+00:00,39.5
