time,SIS
2015-01-01 06:00:00+00:00,0.0
2015-01-01 07:00:00+00:00,0.0
2015-01-01 08:00:00+00:00,59.0
2015-01-01 09:00:00+00:00,81.5
2015-01-01 10:00:00+00:00,175.5
2015-01-01 11:00:00+00:00,182.5
2015-01-01 12:00:00+00:00,181.0
2015-01-01 13:00:00+00:00,98.5
2015-01-01 14:00:00+00:00,20.0
2015-01-01 15:00:00+00:00,0.0
2015-01-01 16:00:00+00:00,0.0
2015-01-02 06:00:00+00:00,0.0
2015-01-02 07:00:00+00:00,0.0
2015-01-02 08:00:00+00:00,38.5
2015-01-02 09:00:00+00:00,51.5
2015-01-02 10:00:00+00:00,42.0
2015-01-02 11:00:00+00:00,114.5
2015-01-02 12:00:00+00:00,78.5
2015-01-02 13:00:00+00:00,118.5
2015-01-02 14:00:00+00:00,17.5
2015-01-02 15:00:00+00:00,0.0
2015-01-02 16:00:00+00:00,0.0
2015-01-03 06:00:00+00:00,0.0
2015-01-03 07:00:00+00:00,0.0
2015-01-03 08:00:00+00:00,60.5
2015-01-03 09:00:00+00:00,111.0
2015-01-03 10:00:00+00:00,142.5
2015-01-03 11:00:00+00:00,128.5
2015-01-03 12:00:00+00:00,110.5
2015-01-03 13:00:00+00:00,56.0
2015-01-03 14:00:00+00:00,6.5
2015-01-03 15:00:00+00:00,0.0
2015-01-03 16:00:00+00:00,0.0
2015-01-04 06:00:00+00:00,0.0
2015-01-04 07:00:00+00:00,0.0
2015-01-04 08:00:00+00:00,70.5
2015-01-04 09:00:00+00:00,139.0
2015-01-04 10:00:00+00:00,197.5
2015-01-04 11:00:00+00:00,177.5
2015-01-04 12:00:00+00:00,158.0
2015-01-04 13:00:00+00:00,73.5
2015-01-04 14:00:00+00:00,7.5
2015-01-04 15:00:00+00:00,0.0
2015-01-04 16:00:00+00:00,0.0
2015-01-05 06:00:00+00:00,0.0
2015-01-05 07:00:00+00:00,0.0
2015-01-05 08:00:00+00:00,37.0
2015-01-05 09:00:00+00:00,48.5
2015-01-05 10:00:00+00:00,49.0
2015-01-05 11:00:00+00:00,45.5
2015-01-05 12:00:00+00:00,81.0
2015-01-05 13:00:00+00:00,26.0
2015-01-05 14:00:00+00:00,3.5
2015-01-05 15:00:00+00:00,0.0
2015-01-05 16:00:00+00:00,0.0
2015-01-06 06:00:00+00:00,0.0
2015-01-06 07:00:00+00:00,0.0
2015-01-06 08:00:00+00:00,38.0
2015-01-06 09:00:00+00:00,44.5
2015-01-06 10:00:00+00:00,59.0
2015-01-06 11:00:00+00:00,56.0
2015-01-06 12:00:00+00:00,53.5
2015-01-06 13:00:00+00:00,42.5
2015-01-06 14:00:00+00:00,11.5
2015-01-06 15:00:00+00:00,0.0
2015-01-06 16:00:00+00:00,0.0
2015-01-07 06:00:00+00:00,0.0
2015-01-07 07:00:00+00:00,0.0
2015-01-07 08:00:00+00:00,46.5
2015-01-07 09:00:00+00:00,46.5
2015-01-07 10:00:00+00:00,73.5
2015-01-07 11:00:00+00:00,71.5
2015-01-07 12:00:00+00:00,110.5
2015-01-07 13:00:00+00:00,74.5
2015-01-07 14:00:00+00:00,17.5
2015-01-07 15:00:00+00:00,0.0
2015-01-07 16:00:00+00:00,0.0
2015-01-08 06:00:00+00:00,0.0
2015-01-08 07:00:00+00:00,0.0
2015-01-08 08:00:00+00:00,36.5
2015-01-08 09:00:00+00:00,51.0
2015-01-08 10:00:00+00:00,52.0
